self.player_won ? 'WIN' : 'LOSS',self.total_gold_collected,self.steps_taken,self.deaths_by_pit,self.deaths_by_wumpus,self.num_pits,self.num_wumpus,self.gold_to_win,(self.initial_player_position != nil) ? int(self.initial_player_position.x) : 0,(self.initial_player_position != nil) ? int(self.initial_player_position.y) : 0,self.grid_size
LOSS,1,11150,0,0,2,2,3,46,10,15
WIN,3,5000,0,0,2,2,3,58,22,15
WIN,3,10238,0,0,2,2,3,46,82,25
LOSS,2,11249,0,0,2,2,3,34,82,25
LOSS,2,10450,0,0,2,2,3,90,38,25
WIN,3,10762,0,0,2,2,3,62,26,25
LOSS,2,5000,0,0,2,2,3,70,22,25
LOSS,3,11153,0,0,2,2,4,50,50,15
LOSS,1,11435,0,0,2,2,4,90,74,15
LOSS,3,10828,0,0,2,2,4,14,50,15
WIN,4,10658,0,0,2,2,4,22,86,15
LOSS,2,5000,0,0,2,2,4,70,98,15
LOSS,2,11041,0,0,2,2,4,30,30,25
LOSS,0,10449,0,0,2,2,4,6,86,25
LOSS,3,10242,0,0,2,2,4,26,94,25
LOSS,3,10198,0,0,2,2,4,82,50,25
LOSS,3,5000,0,0,2,2,4,82,70,25
WIN,2,10680,0,0,3,1,2,6,10,15
WIN,2,10522,0,0,3,1,2,18,78,15
WIN,2,10858,0,0,3,1,2,50,6,15
WIN,2,11390,0,0,3,1,2,74,94,15
LOSS,0,5000,0,0,3,1,2,10,34,15
WIN,2,10827,0,0,3,1,2,38,58,25
WIN,2,11125,0,0,3,1,2,10,78,25
LOSS,1,11052,0,0,3,1,2,94,50,25
WIN,2,11362,0,0,3,1,2,30,98,25
WIN,2,5000,0,0,3,1,2,30,70,25
WIN,3,11006,0,0,3,1,3,14,2,15
LOSS,2,10526,0,0,3,1,3,78,82,15
WIN,3,10722,0,0,3,1,3,54,78,15
WIN,3,10910,0,0,3,1,3,14,42,15
LOSS,2,5000,0,0,3,1,3,86,38,15
WIN,3,11002,0,0,3,1,3,50,30,25
LOSS,2,10813,0,0,3,1,3,50,94,25
WIN,3,10801,0,0,3,1,3,94,82,25
LOSS,2,11496,0,0,3,1,3,94,58,25
WIN,3,5000,0,0,3,1,3,34,86,25
WIN,4,11965,0,0,3,1,4,6,6,15
WIN,4,11051,0,0,3,1,4,42,90,15
WIN,4,11591,0,0,3,1,4,74,30,15
WIN,4,11553,0,0,3,1,4,54,66,15
LOSS,2,5000,0,0,3,1,4,58,6,15
LOSS,1,10954,0,0,3,1,4,46,30,25
LOSS,2,11188,0,0,3,1,4,54,94,25
WIN,4,10928,0,0,3,1,4,50,6,25
LOSS,2,11160,0,0,3,1,4,90,82,25
LOSS,2,5000,0,0,3,1,4,70,18,25
WIN,2,12090,0,0,3,2,2,10,82,15
WIN,2,11201,0,0,3,2,2,74,54,15
WIN,2,12113,0,0,3,2,2,94,78,15
LOSS,1,11087,0,0,3,2,2,78,54,15
WIN,2,5000,0,0,3,2,2,22,70,15
WIN,2,11223,0,0,3,2,2,94,54,25
LOSS,1,10883,0,0,3,2,2,66,38,25
LOSS,1,10874,0,0,3,2,2,46,30,25
WIN,2,11066,0,0,3,2,2,74,30,25
WIN,2,5000,0,0,3,2,2,58,70,25
LOSS,1,10579,0,0,3,2,3,26,70,15
WIN,3,11429,0,0,3,2,3,66,86,15
WIN,3,11335,0,0,3,2,3,42,78,15
